experiment,year,emulator,fair_full_p50,fair_full_p33,fair_full_p66,diff_vs_full,fair_co2only_p50,diff_vs_co2only
h,2050,2.381,1.88,1.765,1.981,0.501,1.193,1.188
h,2100,3.39,3.376,3.131,3.594,0.014,2.303,1.087
