scenario,years,n_emu,n_cesm,emu_mean,cesm_mean,d_mean,emu_sd,cesm_sd,d_sd,d_p1,d_p50,d_p99
hist,2005-2014,10,10,0.305,0.185,0.12,0.587,0.504,0.083,-0.078,0.019,0.393
ssp370,2091-2100,10,10,5.629,5.554,0.076,0.669,0.59,0.079,-0.225,0.08,0.191
aaer,2041-2050,11,11,-2.838,-3.119,0.281,0.495,0.41,0.085,0.029,0.277,0.311
ghg,2041-2050,6,6,3.455,3.701,-0.247,0.671,0.416,0.254,-0.502,-0.299,0.308
