var,side,decade,unit,all,ghg,aaer,sum,residual,residual_se,residual_pct_of_all
PRECT,emulator,1900-1909,%,-0.528,-0.18,-0.884,-1.064,0.536,0.386,-101.5
PRECT,emulator,1910-1919,%,-0.521,-0.02,-0.987,-1.007,0.487,0.393,-93.5
PRECT,emulator,1920-1929,%,-0.561,0.006,-1.097,-1.091,0.53,0.369,-94.5
PRECT,emulator,1930-1939,%,-0.434,0.08,-1.162,-1.082,0.648,0.33,-149.1
PRECT,emulator,1940-1949,%,-0.6,0.156,-1.296,-1.14,0.539,0.312,-89.9
PRECT,emulator,1950-1959,%,-0.759,0.233,-1.629,-1.396,0.637,0.334,-83.9
PRECT,emulator,1960-1969,%,-0.821,0.376,-1.96,-1.584,0.763,0.324,-93.0
PRECT,emulator,1970-1979,%,-0.935,0.451,-2.445,-1.994,1.06,0.446,-113.3
PRECT,emulator,1980-1989,%,-0.83,0.88,-2.661,-1.781,0.951,0.38,-114.6
PRECT,emulator,1990-1999,%,-0.707,1.186,-2.958,-1.772,1.066,0.369,-150.8
PRECT,emulator,2000-2009,%,-0.322,1.524,-3.087,-1.563,1.242,0.351,-386.2
PRECT,emulator,2010-2019,%,0.103,1.811,-3.202,-1.39,1.494,0.37,1448.3
PRECT,emulator,2020-2029,%,0.375,2.155,-3.264,-1.11,1.485,0.389,395.8
PRECT,emulator,2030-2039,%,1.076,2.65,-3.297,-0.647,1.723,0.358,160.2
PRECT,emulator,2040-2049,%,1.66,3.112,-3.363,-0.25,1.91,0.405,115.1
