scenario,years,n_emu,n_cesm,emu_mean,cesm_mean,d_mean,emu_sd,cesm_sd,d_sd,d_p1,d_p50,d_p99
hist,2005-2014,5,5,1.088,1.019,0.07,0.185,0.143,0.042,0.066,0.074,0.149
ssp370,2091-2100,5,5,4.481,4.459,0.023,0.197,0.226,-0.029,-0.058,0.022,-0.031
aaer,2041-2050,5,5,-0.75,-0.785,0.035,0.157,0.119,0.038,-0.054,0.058,0.107
ghg,2041-2050,5,5,2.361,2.427,-0.067,0.165,0.154,0.011,-0.125,-0.057,-0.063
