year,010,011,012,013,014,015
1850,14.321378,14.092701,14.393574,14.077948,14.295754,14.221078
1851,14.119273,14.120001,14.032905,14.021689,14.113575,14.009226
1852,14.016192,14.112077,13.931491,14.177497,13.823275,14.041711
1853,14.178877,13.981814,13.885177,14.112890,13.776923,14.111880
1854,14.220331,13.965619,13.921282,14.012785,13.907946,14.251917
1855,14.352968,14.096374,13.970817,14.134634,14.016405,14.141553
1856,14.129232,14.023495,13.853271,14.079078,13.935341,13.983730
1857,13.917360,14.210956,13.897473,13.947407,14.003824,14.160524
1858,13.911171,14.262629,13.914470,14.033115,14.068464,14.055776
1859,13.901233,13.999881,14.034024,14.018696,14.081286,14.015360
1860,14.190274,14.069806,14.037978,13.967371,14.124044,13.979714
1861,14.167633,14.087337,14.033931,14.098193,14.128829,13.964370
1862,13.900291,14.138640,14.089732,14.150642,13.877024,13.923000
1863,13.983212,14.185585,14.052041,13.984618,13.887370,14.120626
1864,14.002569,14.161074,14.042086,14.132257,14.073172,14.179298
1865,13.967784,13.937709,14.112399,14.232779,14.056740,14.064940
1866,14.015563,13.844268,14.233303,14.163619,14.034529,14.124169
1867,14.034145,13.852346,14.007531,13.988193,14.190143,14.172138
1868,13.880371,13.938563,14.125022,14.010281,14.142001,14.128880
1869,13.875436,14.060032,14.088841,13.992950,14.054114,14.217682
1870,14.052798,14.094275,14.065082,14.078910,14.075891,14.239032
1871,14.176134,14.424910,14.147208,14.214554,14.106085,14.167382
1872,14.148972,14.185246,14.108449,14.058758,14.128849,14.256371
1873,14.104510,14.075846,14.088980,14.070939,14.100454,14.136398
1874,13.817372,14.061079,14.075365,14.223129,14.246941,14.215335
1875,14.041371,14.242583,14.145151,14.180264,14.397583,14.061999
1876,14.180365,14.238494,14.339767,14.077475,14.116846,14.111912
1877,14.165839,14.187670,14.337626,14.135969,14.246188,14.082658
1878,14.026202,14.231833,14.245104,14.228994,14.289696,14.122239
1879,14.032296,14.310906,14.140221,14.066033,14.247496,14.284789
1880,14.029774,14.170834,13.996504,13.978246,14.115081,14.284703
1881,14.144381,14.226262,14.114427,14.217938,14.088299,14.314348
1882,14.153013,14.296553,14.209696,14.245398,14.151785,14.013196
1883,14.061259,14.351352,14.095088,14.230794,14.167428,14.127612
1884,14.141140,14.162117,13.956984,14.316221,14.037090,14.289914
1885,14.282890,14.050672,13.964185,14.209099,13.847526,14.185014
1886,14.201931,14.092328,14.013179,14.121151,13.940836,14.153879
1887,14.257223,14.157423,13.945141,14.120653,14.101939,14.229900
1888,14.234004,14.215777,13.996203,14.151269,14.170350,14.263634
1889,14.173605,14.249952,14.014561,14.088844,14.098670,14.120819
1890,14.237735,14.282914,14.107525,14.003513,14.240222,14.087108
1891,14.373001,14.089796,14.098393,14.099431,14.323336,14.184168
1892,14.164439,14.051264,14.007781,14.083429,14.287081,14.246131
1893,14.136281,14.085297,14.227726,14.258914,14.302879,14.084384
1894,14.277363,14.155361,14.461624,14.288755,14.072033,14.301319
1895,14.186277,14.072307,14.280784,14.180504,14.155521,14.274479
1896,14.117949,14.136395,14.172463,14.134145,14.257955,14.220781
1897,14.116098,14.332593,14.333104,14.187132,14.204119,14.281772
1898,14.064924,14.104776,14.079618,14.069665,14.350082,14.283495
1899,14.160934,13.910278,14.243378,14.189953,14.171684,14.313093
1900,14.184937,14.178010,14.144138,14.279872,14.026054,14.192401
1901,14.175555,14.333245,13.906009,14.272364,14.071954,14.154365
1902,14.098769,14.073240,13.960788,14.133830,14.168797,14.058095
1903,14.292347,14.083720,14.173869,14.253776,14.164520,14.198038
1904,14.428797,14.251658,14.169522,14.289023,14.092581,14.239486
1905,14.236240,14.315920,14.177759,14.232174,14.334939,14.289216
1906,14.160861,14.100766,14.326335,14.301262,14.165456,14.238619
1907,14.220128,14.165253,14.120432,14.320908,14.221034,14.398978
1908,14.186062,14.340640,14.170144,14.420867,14.297598,14.493590
