year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1904,13.699210,13.724629,13.855290,13.847537,14.310464,13.705001,13.795497,13.717222,13.589311,13.846428,13.765509
1905,13.936346,13.781774,13.835333,13.700889,13.780568,13.864763,13.932328,13.812922,13.837729,13.880451,13.828274
1906,13.692560,13.822746,13.707871,13.694861,13.756780,13.784597,13.932364,13.882277,13.814775,13.716162,13.782163
1907,13.780446,13.781286,13.826389,13.863674,13.742127,13.642574,13.915962,13.762669,13.782899,13.749430,13.899312
1908,13.787885,13.819176,13.862888,13.779866,13.861071,13.624721,13.902123,13.578573,14.029797,13.637142,13.953030
1909,13.689273,13.654523,13.765551,13.813159,13.747533,13.789126,13.816119,13.744483,13.910467,13.843442,13.770110
1910,13.693605,14.008695,13.792997,13.908166,13.970513,13.799486,13.704791,13.779856,13.686108,13.689714,13.713266
1911,13.812170,13.696206,13.600406,13.842891,13.693533,13.775039,13.675057,13.629472,13.816919,13.654567,13.695271
1912,13.730131,13.839011,13.699001,13.408577,13.775745,13.625543,13.913574,13.803705,13.595386,13.960588,13.678064
1913,13.703454,13.952688,13.875296,13.796135,13.831376,13.716090,13.760299,13.786068,13.995198,13.822911,13.882106
1914,13.671023,13.674445,13.867876,13.454088,13.989908,13.887117,13.775713,13.864949,13.773979,13.806676,13.818766
1915,13.587506,13.542035,13.674224,13.410406,13.996446,13.776622,13.984729,13.811102,13.687073,13.672495,13.662405
1916,13.946929,13.814874,13.828647,13.641496,13.886477,13.790468,13.846091,13.931486,13.677466,13.942312,13.758367
1917,13.826801,13.675349,13.710171,14.034267,13.703848,13.814655,13.978201,13.610978,13.843322,13.661917,13.626336
1918,13.646145,13.737861,13.593923,13.657881,13.697045,13.918792,13.564693,13.773256,13.718902,13.823186,13.719824
1919,13.658122,13.691546,13.723055,13.818610,13.693610,13.736454,13.699203,13.627709,13.807233,13.754697,13.542595
1920,13.816039,13.758748,13.802775,13.650456,13.741835,13.832186,13.712453,13.484361,13.895299,13.670880,13.556967
1921,13.541302,13.877093,13.645958,13.776486,13.696825,13.757312,13.977070,13.589299,13.659343,13.684848,13.755339
1922,13.667845,13.845474,13.746190,13.636192,13.672449,14.050931,13.548199,13.921709,13.858018,13.622139,13.564960
1923,13.919526,13.611972,13.797127,13.822051,13.675314,13.851631,13.935550,13.787466,13.766190,13.751162,13.733344
1924,13.751384,13.660847,13.828175,13.836942,13.701115,13.810441,13.681425,13.772534,13.939622,13.696597,13.650355
1925,13.646777,13.689570,13.911807,13.776668,13.652837,13.690128,13.440115,13.779061,13.862147,13.789945,13.570905
1926,13.860801,13.531310,13.808882,13.738635,13.588308,13.718893,13.680983,13.958906,13.776521,13.824889,13.387730
1927,13.966234,13.704025,13.784904,13.701444,13.754015,13.678303,13.947606,13.934286,13.814447,13.837173,13.722088
1928,13.728907,13.610938,13.675949,13.566602,13.927621,13.845815,13.726893,13.511032,13.937046,13.946453,13.706587
1929,13.790266,13.853611,13.760271,13.959252,13.633950,13.807557,13.879772,13.598473,13.733707,13.697982,13.725976
1930,13.875104,13.660321,13.556713,13.604194,13.658041,13.741602,13.747849,13.584488,13.700100,13.773904,13.582637
1931,13.831324,13.819968,13.720040,13.677837,13.659371,13.775015,13.884633,13.734702,13.661852,13.730353,13.759193
1932,13.794001,13.707587,13.707749,13.809598,13.553461,13.553835,13.715619,13.561521,13.707302,13.617183,13.788749
1933,13.532808,13.665485,13.924044,13.765658,13.836950,13.606527,13.770654,14.025883,13.671982,13.976024,13.524862
1934,13.642608,13.618089,13.573955,13.691093,13.888594,13.515903,13.661428,13.969520,13.912416,13.729761,13.579300
1935,13.883339,13.685967,13.939811,13.753887,13.610630,13.909501,14.012623,13.853971,13.815248,13.793243,13.861714
