year,m1,m2,m3,m4,m5,m6
1946,2.947908,2.929237,2.941427,2.953487,2.947498,2.957275
1947,2.919130,2.980303,2.951207,2.922043,2.956940,2.954568
1948,2.958912,2.926925,2.944291,2.958541,2.957828,2.924044
1949,2.910244,2.928342,2.953015,2.938145,2.943891,2.957803
1950,2.947040,2.939906,2.946321,2.955286,2.945737,2.932049
1951,2.965780,2.937665,2.911005,2.917905,2.944726,2.992094
1952,2.923544,2.980029,2.931229,2.953505,2.974498,2.952532
1953,2.946334,2.941284,2.959654,2.960703,2.941756,2.956046
1954,2.925323,2.934084,2.936587,2.947756,2.936495,2.970367
1955,2.975423,2.953411,2.976412,2.957129,2.945938,2.973708
1956,2.943031,2.964447,2.945298,2.967478,2.954269,2.924850
1957,2.959228,2.939493,2.930867,2.944797,2.947266,2.940749
1958,2.978250,2.954792,2.949608,2.940947,2.945352,2.947584
1959,2.982172,2.959556,2.969052,2.964088,2.952914,2.973179
1960,2.952854,2.919193,2.937065,2.967934,2.949873,2.982884
1961,2.961558,2.941952,2.964586,2.969811,2.965105,2.954687
1962,2.965180,2.984376,2.961385,2.944993,2.946323,2.957105
1963,2.964028,2.958947,2.965927,2.967817,2.930751,2.954597
1964,2.931638,2.948525,2.960087,2.942929,2.959029,2.962196
1965,2.964186,2.959946,2.932869,2.962551,2.931163,2.941300
1966,2.954057,2.954678,2.946423,2.978771,2.957688,2.945703
1967,2.949189,2.981627,2.940551,2.976188,2.960464,2.951697
1968,2.962276,2.973710,2.967927,2.965697,2.949227,2.956881
1969,2.958903,2.974904,2.942467,2.951132,2.961638,2.968862
1970,2.986167,2.952882,2.958648,2.957756,2.979512,2.970029
1971,2.954652,2.947984,2.976092,2.963127,2.984942,2.955931
1972,2.970919,2.949033,2.953881,2.998613,2.952082,2.942587
1973,2.934733,2.958977,2.960321,2.929281,2.970528,2.995465
1974,2.960179,2.955619,2.933866,2.997865,2.971353,2.953308
1975,2.939329,2.947596,2.947430,2.975460,2.944449,2.957913
1976,2.994464,2.968786,2.986151,2.955492,2.950269,2.957737
1977,2.944097,2.947628,3.012383,2.946284,2.957786,2.946548
1978,2.989024,2.928336,2.969431,2.981912,2.922317,2.931494
1979,2.960173,2.963482,2.944123,2.929988,2.941551,2.983113
1980,2.962423,2.997589,2.942522,2.966918,2.954626,2.962689
1981,2.972045,3.000926,2.947505,2.959858,2.974242,2.961214
1982,2.998598,2.959738,2.973993,2.968072,2.977233,2.967799
1983,2.971854,2.932179,2.996159,2.966636,2.951039,2.973519
1984,2.984344,2.948078,2.964280,2.994066,2.934879,2.953065
1985,2.964431,2.994885,2.970914,2.990402,2.975144,2.984531
1986,2.976381,2.953481,2.967180,2.958326,2.978182,2.984884
1987,2.967421,2.982229,2.961911,2.957368,2.990141,2.948403
1988,2.973904,2.961479,3.008391,2.977211,2.963152,2.973453
1989,2.987326,2.994609,2.968825,2.965857,2.979671,3.003989
1990,2.955737,2.994430,2.979974,2.984914,2.962382,2.985493
1991,2.975513,3.008917,2.955521,2.977151,2.980409,2.977845
1992,2.946261,2.953828,2.969002,2.978189,2.961987,3.002792
1993,2.992992,2.995666,2.979541,2.966296,2.989081,2.972418
1994,2.939818,3.001852,2.995647,2.960809,2.976105,2.968635
1995,2.970081,2.945977,2.988170,2.961274,2.998139,2.972171
1996,3.002359,2.980342,2.990644,3.001076,2.992498,3.003752
1997,2.971407,2.981943,2.990729,2.998829,2.990688,3.007893
1998,2.992389,2.982804,2.992385,3.000360,2.937770,2.961828
1999,2.984168,2.975384,3.000610,3.010239,3.005571,2.967423
2000,3.017601,3.021458,2.984039,2.984633,3.007105,2.978686
2001,2.969213,2.995266,2.990033,2.964204,3.004024,2.974824
2002,2.958323,2.986989,2.978817,2.968800,2.998886,2.982201
2003,2.989715,2.997114,2.961695,3.021082,2.993371,2.995046
2004,3.010502,2.983324,3.003219,2.997485,2.977060,2.978506
2005,2.977463,2.962289,2.982333,2.967175,2.979311,2.994873
2006,2.973327,2.952134,3.002928,2.984143,3.005957,2.971235
2007,2.988638,3.000369,2.972632,2.988500,3.010973,3.023047
2008,2.979626,2.986628,3.006203,2.989043,3.018006,3.010653
2009,2.982617,2.999972,2.974446,3.026136,2.967474,2.969954
2010,2.978831,2.997482,2.963243,2.981893,3.029559,3.017472
2011,2.977601,2.972310,2.973194,2.993895,3.028254,2.999773
2012,2.987597,2.996019,2.974374,2.994209,3.021426,2.982456
2013,3.020578,2.999120,3.004914,2.982513,2.980576,2.992164
2014,3.003711,3.000515,2.975314,2.993915,2.989678,2.975007
2015,2.985282,3.014835,2.987072,3.008149,2.986239,3.008709
2016,2.987951,2.979345,3.010940,2.996874,2.989492,2.994179
2017,3.023996,3.012608,2.947382,3.016418,2.964136,3.028032
2018,3.015751,3.019907,2.998614,3.000122,3.017580,3.008913
2019,2.983509,2.994401,2.996014,3.032323,3.016709,3.007361
2020,3.036400,3.015648,2.990024,3.000689,3.022124,2.992449
2021,2.967528,2.995250,3.028413,3.007745,3.034259,2.987370
2022,2.992259,3.003220,3.024310,3.002510,2.987079,3.015650
2023,2.999577,2.999400,3.044334,3.016501,3.010501,2.989031
2024,2.992605,2.993746,3.043594,2.997302,3.037634,2.973717
2025,3.009742,2.964788,3.031534,2.991111,3.011785,3.006875
2026,3.028561,3.039145,3.016326,3.003574,3.021144,2.972580
2027,2.999008,3.020242,2.984547,3.005365,3.025947,3.013952
2028,2.999900,3.016195,3.030881,3.027969,3.045510,2.995149
2029,2.998244,2.995450,2.983651,2.985701,3.021241,3.041799
2030,3.032963,3.020266,3.012176,2.999620,3.007497,3.019598
2031,3.025224,3.010594,3.029459,3.022891,3.027064,2.978024
2032,3.036873,3.012872,3.035722,3.012848,3.013487,2.998293
2033,3.020056,3.024289,3.007394,3.023371,3.048192,3.020737
2034,3.004200,3.031193,2.990133,3.027226,3.051061,3.013321
2035,2.989903,3.011820,3.031728,3.002458,3.059481,3.053591
2036,3.016647,3.023790,2.995895,3.045642,3.025524,3.003141
2037,3.054865,3.049809,3.007510,3.036713,3.009789,3.003191
2038,3.016319,3.019840,3.046667,3.019736,3.054105,3.046353
2039,3.036121,3.047873,3.031699,3.012897,3.046280,3.039661
2040,3.024346,3.029412,3.042847,3.050861,3.009717,3.045412
2041,3.057633,3.012628,3.049653,3.017601,3.033588,3.062211
2042,3.027572,3.048604,3.025252,3.004848,3.004991,3.021943
2043,3.015620,3.009987,3.046931,3.029817,3.045433,3.032769
2044,3.043897,3.020527,3.021513,3.071986,3.055121,3.005023
2045,3.025308,3.033773,3.043064,3.027617,3.044683,3.060252
2046,3.043556,3.034186,3.042971,3.001066,3.022765,3.048669
2047,3.095719,3.072005,3.053063,3.036953,3.009546,3.034558
2048,3.070562,3.022593,3.055563,3.070665,3.044305,3.027975
2049,3.024911,3.037793,3.041148,3.050161,3.037965,3.057425
2050,3.049563,3.032578,3.046683,3.027165,3.004640,3.045276
