year,010,011,012,013,014,015,016,017,018,019,020
1850,2.959671,2.937929,2.965925,2.935165,2.969878,2.972559,2.955713,2.940784,2.958082,2.959577,2.964020
1851,2.963916,2.943663,2.956330,2.953856,2.959979,2.932356,2.946924,2.950191,2.951826,2.966849,2.924498
1852,2.964082,2.948958,2.943806,2.932362,2.941737,2.934584,2.958042,2.966041,2.970250,2.956226,2.927074
1853,2.936644,2.943105,2.952295,2.943198,2.933982,2.945112,2.966935,2.942623,2.954861,2.970935,2.939786
1854,2.934010,2.937672,2.974242,2.959055,2.944185,2.975179,2.940780,2.931055,2.952850,2.938939,2.944535
1855,2.957195,2.935629,2.934885,2.944512,2.944811,2.954810,2.954088,2.936226,2.957740,2.939175,2.935222
1856,2.936346,2.957376,2.920660,2.945336,2.963806,2.952775,2.966377,2.950360,2.952036,2.955355,2.945296
1857,2.938843,2.935840,2.949468,2.946182,2.949085,2.934151,2.948842,2.949362,2.957759,2.961791,2.961253
1858,2.952321,2.949877,2.949057,2.959831,2.958955,2.932691,2.927905,2.943881,2.941887,2.970413,2.933202
1859,2.929103,2.952520,2.929171,2.937843,2.943628,2.946663,2.947042,2.928285,2.938908,2.929208,2.946485
1860,2.949603,2.920280,2.940426,2.948668,2.961973,2.971206,2.943446,2.949345,2.933707,2.940437,2.932693
1861,2.933802,2.923018,2.938399,2.935666,2.934621,2.928277,2.935290,2.956189,2.942661,2.969025,2.937696
1862,2.939005,2.964652,2.947874,2.925846,2.935378,2.944282,2.927349,2.931232,2.948714,2.965279,2.941054
1863,2.950948,2.950486,2.940644,2.933489,2.923109,2.963346,2.943479,2.959157,2.943514,2.937071,2.967030
1864,2.925771,2.952789,2.936347,2.926097,2.920058,2.924676,2.944315,2.952622,2.948191,2.940545,2.937532
1865,2.929837,2.944071,2.949047,2.957053,2.942395,2.933353,2.935488,2.960563,2.960440,2.943382,2.949080
1866,2.942154,2.969013,2.934010,2.961709,2.961505,2.960189,2.942806,2.934859,2.947974,2.947989,2.963027
1867,2.927383,2.946968,2.931992,2.937824,2.942219,2.939014,2.939433,2.935836,2.951803,2.937598,2.940138
1868,2.947528,2.972766,2.940398,2.949557,2.947189,2.938571,2.930770,2.944310,2.948658,2.933490,2.925668
1869,2.951023,2.954459,2.934476,2.949639,2.969068,2.959452,2.965395,2.958273,2.949319,2.946542,2.927409
1870,2.936074,2.933247,2.933173,2.947180,2.939823,2.968935,2.940504,2.936178,2.922335,2.927115,2.955051
1871,2.944641,2.942407,2.944746,2.965840,2.941659,2.932347,2.932643,2.929634,2.942805,2.940775,2.967264
1872,2.970323,2.963967,2.936300,2.932305,2.941988,2.941722,2.959302,2.946866,2.945888,2.970953,2.928981
1873,2.935484,2.935834,2.938629,2.952884,2.938871,2.974932,2.951123,2.951742,2.950145,2.944833,2.968422
1874,2.952908,2.928035,2.949222,2.936687,2.945953,2.939367,2.943507,2.927257,2.961399,2.941237,2.939665
1875,2.954773,2.920573,2.940792,2.939973,2.934742,2.944825,2.941506,2.922283,2.967326,2.945873,2.940768
1876,2.917354,2.944642,2.942221,2.956368,2.954511,2.945237,2.944641,2.935934,2.939103,2.939407,2.954402
1877,2.924725,2.948509,2.971252,2.933702,2.956684,2.946154,2.959617,2.935751,2.926775,2.941482,2.948585
1878,2.978172,2.932650,2.953418,2.952952,2.944855,2.964303,2.937974,2.941453,2.955259,2.955872,2.957802
1879,2.931601,2.938302,2.933415,2.985616,2.956650,2.927810,2.956023,2.931526,2.958521,2.945806,2.930844
1880,2.933594,2.950622,2.937375,2.912926,2.942726,2.940595,2.963970,2.925378,2.936913,2.954288,2.949130
1881,2.943906,2.929489,2.958867,2.906025,2.929857,2.929328,2.954509,2.952649,2.941765,2.960736,2.949505
1882,2.952119,2.968080,2.936386,2.925098,2.934656,2.947051,2.941968,2.943867,2.947556,2.972415,2.930140
1883,2.937781,2.965810,2.914110,2.931915,2.952675,2.937420,2.960473,2.940707,2.937207,2.933460,2.945813
1884,2.921382,2.941210,2.926947,2.947905,2.923391,2.920456,2.948313,2.936404,2.956711,2.923406,2.941349
1885,2.944549,2.950660,2.960071,2.912019,2.924854,2.940989,2.921763,2.924382,2.939627,2.961513,2.949122
1886,2.954894,2.946771,2.953025,2.942260,2.940312,2.930349,2.922733,2.934656,2.928669,2.951943,2.949407
1887,2.930124,2.941214,2.933192,2.936384,2.941770,2.955845,2.942062,2.950693,2.949679,2.959743,2.935430
1888,2.955112,2.943750,2.920751,2.926256,2.967522,2.958619,2.931311,2.934529,2.926637,2.926446,2.941400
1889,2.930763,2.924254,2.936425,2.944264,2.964094,2.933938,2.937098,2.922755,2.929675,2.952469,2.952426
1890,2.922648,2.943340,2.929019,2.933191,2.932335,2.931698,2.931755,2.953183,2.937517,2.950362,2.936989
1891,2.929608,2.957275,2.928999,2.937163,2.935243,2.946416,2.966562,2.928012,2.943616,2.960793,2.930609
1892,2.943933,2.935212,2.944419,2.953829,2.917408,2.917289,2.935377,2.930483,2.918049,2.944320,2.934216
1893,2.936604,2.922525,2.936468,2.938283,2.919086,2.934197,2.939218,2.941001,2.939751,2.935951,2.962075
1894,2.936281,2.941845,2.949254,2.921988,2.928755,2.945623,2.964301,2.946988,2.948260,2.962067,2.924900
1895,2.938324,2.943088,2.973734,2.943794,2.933022,2.927959,2.940158,2.943025,2.942921,2.927366,2.938728
1896,2.936978,2.934111,2.945314,2.925926,2.933144,2.923539,2.927721,2.922361,2.954652,2.951441,2.939597
1897,2.958153,2.936109,2.914958,2.909898,2.941500,2.929127,2.932443,2.939135,2.922037,2.932041,2.959377
1898,2.940679,2.937091,2.933772,2.932350,2.946031,2.937874,2.934538,2.918670,2.929982,2.943688,2.933326
1899,2.922405,2.949226,2.944880,2.943235,2.948088,2.930212,2.943968,2.927488,2.959416,2.952262,2.919626
1900,2.940408,2.941586,2.929360,2.919593,2.933487,2.932814,2.963802,2.914425,2.913672,2.965618,2.925607
1901,2.963370,2.962019,2.931568,2.930825,2.932256,2.934987,2.944671,2.958216,2.917686,2.957704,2.961574
1902,2.931022,2.916571,2.926007,2.931614,2.928292,2.935460,2.931917,2.935732,2.912859,2.929494,2.936352
1903,2.919983,2.929712,2.948646,2.927258,2.929164,2.948819,2.932823,2.925551,2.928967,2.921760,2.936701
1904,2.929734,2.916635,2.951506,2.932647,2.938570,2.951534,2.922890,2.939412,2.932252,2.940407,2.919717
