year,010,011,012,013,014,015
1850,2.955980,2.932764,2.969138,2.929405,2.969921,2.956917
1851,2.954161,2.956107,2.954566,2.931955,2.957647,2.937868
1852,2.942009,2.972368,2.932642,2.946687,2.938311,2.935557
1853,2.939071,2.934593,2.929088,2.954793,2.922130,2.934969
1854,2.957632,2.927182,2.942669,2.938513,2.922048,2.975640
1855,2.965726,2.954727,2.941160,2.951702,2.943306,2.947408
1856,2.943093,2.941909,2.933520,2.944231,2.937717,2.929716
1857,2.943068,2.940862,2.932515,2.942563,2.943089,2.954524
1858,2.934886,2.969819,2.948784,2.947392,2.946834,2.942969
1859,2.925279,2.947102,2.949050,2.958146,2.937627,2.945841
1860,2.952578,2.946954,2.940728,2.929801,2.948967,2.942492
1861,2.972408,2.952897,2.945974,2.948469,2.956359,2.928038
1862,2.925660,2.948519,2.949825,2.941507,2.945337,2.940802
1863,2.940079,2.955051,2.945965,2.941129,2.915532,2.936912
1864,2.951080,2.965779,2.947316,2.940801,2.944368,2.955268
1865,2.933595,2.948561,2.943098,2.965479,2.962155,2.943783
1866,2.944571,2.929500,2.961213,2.961808,2.938359,2.948788
1867,2.953866,2.932370,2.945154,2.929677,2.952234,2.966055
1868,2.934925,2.915183,2.946816,2.941943,2.961026,2.947454
1869,2.916718,2.949724,2.939298,2.946813,2.941789,2.967904
1870,2.938239,2.937758,2.939630,2.936769,2.942658,2.957094
1871,2.962276,2.972442,2.944522,2.958172,2.944070,2.954235
1872,2.953143,2.954757,2.948564,2.939581,2.949289,2.979462
1873,2.968126,2.948003,2.946806,2.940259,2.930133,2.946859
1874,2.929930,2.935490,2.950296,2.954761,2.952624,2.962391
1875,2.926448,2.955006,2.937657,2.949810,2.971472,2.938357
1876,2.959925,2.955205,2.957825,2.949373,2.943549,2.955621
1877,2.957507,2.956442,2.971321,2.951402,2.944958,2.931054
1878,2.944706,2.950030,2.959276,2.967029,2.948732,2.939848
1879,2.933180,2.973275,2.959279,2.951908,2.956518,2.949541
1880,2.938232,2.947662,2.928296,2.928117,2.946054,2.954769
1881,2.963238,2.956841,2.950568,2.944864,2.944066,2.983608
1882,2.944354,2.955798,2.954611,2.966485,2.960721,2.930620
1883,2.922671,2.962177,2.949493,2.951050,2.963265,2.948978
1884,2.943322,2.959944,2.950308,2.967971,2.960075,2.947942
1885,2.965737,2.938771,2.918945,2.949071,2.934611,2.942108
1886,2.940475,2.932043,2.940603,2.944344,2.917991,2.936846
1887,2.960638,2.951098,2.924290,2.948547,2.948903,2.945121
1888,2.957138,2.951432,2.939194,2.947282,2.949304,2.962077
1889,2.951390,2.949019,2.933286,2.949935,2.937308,2.946088
1890,2.949690,2.972727,2.936560,2.938149,2.948428,2.944071
1891,2.968319,2.933079,2.965195,2.952531,2.965489,2.942993
1892,2.942157,2.939033,2.927482,2.940184,2.945368,2.961206
1893,2.936108,2.937579,2.949823,2.945920,2.960943,2.935542
1894,2.951321,2.948948,2.963896,2.965382,2.945668,2.958160
1895,2.952678,2.938423,2.974232,2.955633,2.949203,2.968638
1896,2.938132,2.945297,2.939470,2.942590,2.960440,2.953700
