scenario,year,source,member,value,unit
ssp126,2100,cesm2,r10i1p1f1,4.835076402445892,%
ssp126,2015,cesm2,r11i1p1f1,0.1673742094254588,%
ssp126,2016,cesm2,r11i1p1f1,0.19078114626075388,%
ssp126,2017,cesm2,r11i1p1f1,0.4551644783747255,%
ssp126,2018,cesm2,r11i1p1f1,0.7186182770901869,%
ssp126,2019,cesm2,r11i1p1f1,0.7243282527203032,%
ssp126,2020,cesm2,r11i1p1f1,1.623253833389077,%
ssp126,2021,cesm2,r11i1p1f1,0.26803277605149417,%
ssp126,2022,cesm2,r11i1p1f1,0.2605079916171614,%
ssp126,2023,cesm2,r11i1p1f1,1.0651602356624226,%
ssp126,2024,cesm2,r11i1p1f1,0.6384239575093749,%
ssp126,2025,cesm2,r11i1p1f1,1.0491615918115291,%
ssp126,2026,cesm2,r11i1p1f1,1.6749706249075496,%
ssp126,2027,cesm2,r11i1p1f1,2.0593652687810615,%
ssp126,2028,cesm2,r11i1p1f1,0.9508443112111413,%
ssp126,2029,cesm2,r11i1p1f1,1.8939601308323581,%
ssp126,2030,cesm2,r11i1p1f1,2.442788953456723,%
ssp126,2031,cesm2,r11i1p1f1,1.9407908503514864,%
ssp126,2032,cesm2,r11i1p1f1,1.433067608280818,%
ssp126,2033,cesm2,r11i1p1f1,2.227222952596141,%
ssp126,2034,cesm2,r11i1p1f1,1.423696937256457,%
ssp126,2035,cesm2,r11i1p1f1,1.4244133793485312,%
ssp126,2036,cesm2,r11i1p1f1,2.532211602259044,%
ssp126,2037,cesm2,r11i1p1f1,2.347710558482005,%
ssp126,2038,cesm2,r11i1p1f1,3.0776049993085763,%
ssp126,2039,cesm2,r11i1p1f1,2.188461850895051,%
ssp126,2040,cesm2,r11i1p1f1,2.470479215336821,%
ssp126,2041,cesm2,r11i1p1f1,2.3082201339527293,%
ssp126,2042,cesm2,r11i1p1f1,3.0709474650938704,%
ssp126,2043,cesm2,r11i1p1f1,2.783509539695871,%
ssp126,2044,cesm2,r11i1p1f1,3.0047925586706707,%
ssp126,2045,cesm2,r11i1p1f1,3.2448137284588117,%
ssp126,2046,cesm2,r11i1p1f1,2.7936512626235834,%
ssp126,2047,cesm2,r11i1p1f1,2.965019097866594,%
ssp126,2048,cesm2,r11i1p1f1,2.838718061910354,%
ssp126,2049,cesm2,r11i1p1f1,3.1713357993390114,%
ssp126,2050,cesm2,r11i1p1f1,3.495269246863842,%
ssp126,2051,cesm2,r11i1p1f1,3.13001473052212,%
ssp126,2052,cesm2,r11i1p1f1,2.8235539751884446,%
ssp126,2053,cesm2,r11i1p1f1,3.212746828829584,%
ssp126,2054,cesm2,r11i1p1f1,3.5223843096481753,%
ssp126,2055,cesm2,r11i1p1f1,3.1604282776263313,%
ssp126,2056,cesm2,r11i1p1f1,2.7666909635188914,%
ssp126,2057,cesm2,r11i1p1f1,4.008130285736877,%
ssp126,2058,cesm2,r11i1p1f1,3.3425917406333423,%
ssp126,2059,cesm2,r11i1p1f1,3.2425098472203184,%
ssp126,2060,cesm2,r11i1p1f1,3.5021374217999766,%
ssp126,2061,cesm2,r11i1p1f1,3.6191367330736925,%
ssp126,2062,cesm2,r11i1p1f1,3.1097312752895765,%
ssp126,2063,cesm2,r11i1p1f1,4.080009639886462,%
ssp126,2064,cesm2,r11i1p1f1,3.1521886092307105,%
ssp126,2065,cesm2,r11i1p1f1,3.1533342085637797,%
ssp126,2066,cesm2,r11i1p1f1,3.857984304172333,%
ssp126,2067,cesm2,r11i1p1f1,3.3296771897354165,%
ssp126,2068,cesm2,r11i1p1f1,3.371987493258017,%
ssp126,2069,cesm2,r11i1p1f1,3.1645388785770767,%
ssp126,2070,cesm2,r11i1p1f1,3.701148768499863,%
ssp126,2071,cesm2,r11i1p1f1,4.203021752442871,%
ssp126,2072,cesm2,r11i1p1f1,4.0388962222668265,%
ssp126,2073,cesm2,r11i1p1f1,3.9500133030826556,%
ssp126,2074,cesm2,r11i1p1f1,4.152718785202576,%
ssp126,2075,cesm2,r11i1p1f1,3.8419464779383823,%
ssp126,2076,cesm2,r11i1p1f1,3.139682558208706,%
ssp126,2077,cesm2,r11i1p1f1,4.115168584979055,%
ssp126,2078,cesm2,r11i1p1f1,3.6803076390436846,%
ssp126,2079,cesm2,r11i1p1f1,4.00511744524631,%
ssp126,2080,cesm2,r11i1p1f1,3.5542528253625836,%
ssp126,2081,cesm2,r11i1p1f1,4.197554593414829,%
ssp126,2082,cesm2,r11i1p1f1,3.6080203119039123,%
ssp126,2083,cesm2,r11i1p1f1,4.5462697587580765,%
ssp126,2084,cesm2,r11i1p1f1,3.4975824501369965,%
ssp126,2085,cesm2,r11i1p1f1,3.892433317845951,%
ssp126,2086,cesm2,r11i1p1f1,3.6559168252773024,%
ssp126,2087,cesm2,r11i1p1f1,4.957606143751499,%
ssp126,2088,cesm2,r11i1p1f1,3.1873473760808593,%
ssp126,2089,cesm2,r11i1p1f1,3.8789123313839418,%
ssp126,2090,cesm2,r11i1p1f1,4.724422819630034,%
ssp126,2091,cesm2,r11i1p1f1,3.8429297060614567,%
ssp126,2092,cesm2,r11i1p1f1,4.325817602744927,%
ssp126,2093,cesm2,r11i1p1f1,5.027027742221935,%
ssp126,2094,cesm2,r11i1p1f1,4.017526830005877,%
ssp126,2095,cesm2,r11i1p1f1,4.882995480696067,%
ssp126,2096,cesm2,r11i1p1f1,4.459930881771191,%
ssp126,2097,cesm2,r11i1p1f1,3.778779486990651,%
ssp126,2098,cesm2,r11i1p1f1,4.429540012968283,%
ssp126,2099,cesm2,r11i1p1f1,4.564742225890659,%
ssp126,2100,cesm2,r11i1p1f1,4.212385381519551,%
ssp126,2015,cesm2,r4i1p1f1,0.590097988722589,%
ssp126,2016,cesm2,r4i1p1f1,0.24157170206424242,%
ssp126,2017,cesm2,r4i1p1f1,-0.14458730662414165,%
ssp126,2018,cesm2,r4i1p1f1,0.5935237747383172,%
ssp126,2019,cesm2,r4i1p1f1,0.9934230399483543,%
ssp126,2020,cesm2,r4i1p1f1,1.0119787348985754,%
ssp126,2021,cesm2,r4i1p1f1,0.0702080871945926,%
ssp126,2022,cesm2,r4i1p1f1,0.3125201884230546,%
ssp126,2023,cesm2,r4i1p1f1,0.3705706494492034,%
ssp126,2024,cesm2,r4i1p1f1,1.4693403284931648,%
ssp126,2025,cesm2,r4i1p1f1,1.3850477888222343,%
ssp126,2026,cesm2,r4i1p1f1,0.9017045903487627,%
ssp126,2027,cesm2,r4i1p1f1,1.7733469270252489,%
ssp126,2028,cesm2,r4i1p1f1,1.1654495148163162,%
ssp126,2029,cesm2,r4i1p1f1,2.412927966911795,%
ssp126,2030,cesm2,r4i1p1f1,2.1567319573097414,%
ssp126,2031,cesm2,r4i1p1f1,1.7362547488127074,%
ssp126,2032,cesm2,r4i1p1f1,1.8123791428238685,%
ssp126,2033,cesm2,r4i1p1f1,2.9730591813245244,%
ssp126,2034,cesm2,r4i1p1f1,2.1383501859570635,%
ssp126,2035,cesm2,r4i1p1f1,2.3703605081473156,%
ssp126,2036,cesm2,r4i1p1f1,2.9981518115227055,%
ssp126,2037,cesm2,r4i1p1f1,1.8368983899163518,%
ssp126,2038,cesm2,r4i1p1f1,2.019196304894304,%
ssp126,2039,cesm2,r4i1p1f1,3.1907601946061783,%
ssp126,2040,cesm2,r4i1p1f1,2.2848098701800237,%
ssp126,2041,cesm2,r4i1p1f1,2.182458272340254,%
ssp126,2042,cesm2,r4i1p1f1,3.0515353841821753,%
ssp126,2043,cesm2,r4i1p1f1,2.4408132920824306,%
ssp126,2044,cesm2,r4i1p1f1,2.024425101649153,%
ssp126,2045,cesm2,r4i1p1f1,2.9302179104347963,%
ssp126,2046,cesm2,r4i1p1f1,2.957268303051386,%
ssp126,2047,cesm2,r4i1p1f1,2.6843729015867925,%
ssp126,2048,cesm2,r4i1p1f1,3.506374823650426,%
ssp126,2049,cesm2,r4i1p1f1,3.7114949628662277,%
ssp126,2050,cesm2,r4i1p1f1,3.4825240082160254,%
ssp126,2051,cesm2,r4i1p1f1,3.2188999553915556,%
ssp126,2052,cesm2,r4i1p1f1,3.1560471293007275,%
ssp126,2053,cesm2,r4i1p1f1,3.221413489196601,%
ssp126,2054,cesm2,r4i1p1f1,3.1334256702246255,%
ssp126,2055,cesm2,r4i1p1f1,3.6867418394973566,%
ssp126,2056,cesm2,r4i1p1f1,2.906096530329209,%
ssp126,2057,cesm2,r4i1p1f1,3.0830619726126565,%
ssp126,2058,cesm2,r4i1p1f1,2.455380359085905,%
ssp126,2059,cesm2,r4i1p1f1,3.3883534050186914,%
ssp126,2060,cesm2,r4i1p1f1,2.790824230106994,%
ssp126,2061,cesm2,r4i1p1f1,3.923375485701699,%
ssp126,2062,cesm2,r4i1p1f1,2.479938110126734,%
ssp126,2063,cesm2,r4i1p1f1,3.4164223989609974,%
ssp126,2064,cesm2,r4i1p1f1,3.332100762384991,%
ssp126,2065,cesm2,r4i1p1f1,3.9788486353872985,%
ssp126,2066,cesm2,r4i1p1f1,3.3113596164937182,%
ssp126,2067,cesm2,r4i1p1f1,3.5497581797414632,%
ssp126,2068,cesm2,r4i1p1f1,3.424528101549657,%
ssp126,2069,cesm2,r4i1p1f1,3.3218388558211536,%
ssp126,2070,cesm2,r4i1p1f1,4.067025004627132,%
ssp126,2071,cesm2,r4i1p1f1,3.384243972876189,%
ssp126,2072,cesm2,r4i1p1f1,3.95770968535252,%
ssp126,2073,cesm2,r4i1p1f1,2.933162846263345,%
ssp126,2074,cesm2,r4i1p1f1,3.87521890045266,%
ssp126,2075,cesm2,r4i1p1f1,3.4291050062968793,%
ssp126,2076,cesm2,r4i1p1f1,3.9562641940453585,%
ssp126,2077,cesm2,r4i1p1f1,3.3909504638718744,%
ssp126,2078,cesm2,r4i1p1f1,3.263435703833642,%
ssp126,2079,cesm2,r4i1p1f1,3.715974484325999,%
ssp126,2080,cesm2,r4i1p1f1,3.355329625219637,%
ssp126,2081,cesm2,r4i1p1f1,4.509810345909989,%
ssp126,2082,cesm2,r4i1p1f1,3.4137725430964525,%
ssp126,2083,cesm2,r4i1p1f1,3.8237300259815465,%
ssp126,2084,cesm2,r4i1p1f1,3.3681236041158105,%
ssp126,2085,cesm2,r4i1p1f1,3.1406789406596145,%
ssp126,2086,cesm2,r4i1p1f1,3.7126626204998208,%
ssp126,2087,cesm2,r4i1p1f1,4.360931524976754,%
ssp126,2088,cesm2,r4i1p1f1,2.8703743169109917,%
ssp126,2089,cesm2,r4i1p1f1,3.509375742723219,%
ssp126,2090,cesm2,r4i1p1f1,4.11506445906276,%
ssp126,2091,cesm2,r4i1p1f1,3.291569284474621,%
ssp126,2092,cesm2,r4i1p1f1,3.1371925734933472,%
ssp126,2093,cesm2,r4i1p1f1,3.726219601772371,%
ssp126,2094,cesm2,r4i1p1f1,3.4428927242818306,%
ssp126,2095,cesm2,r4i1p1f1,4.416628185993002,%
ssp126,2096,cesm2,r4i1p1f1,3.6209156200572323,%
ssp126,2097,cesm2,r4i1p1f1,4.122694998322496,%
ssp126,2098,cesm2,r4i1p1f1,4.914981298292841,%
